Rank,PI,W,D,L,GF,GA,GD,Points,Team
1,17,14,1,2,56,16,40,43,Bayern Munich
2,17,11,1,5,41,26,15,34,Borussia Dortmund
3,16,8,4,4,39,26,13,28,Bayer Leverkusen
4,17,8,4,5,35,26,9,28,Hoffenheim
5,17,7,6,4,27,24,3,27,Eintracht Frankfurt
6,17,7,6,4,23,21,2,27,1. FC Union Berlin
7,16,7,5,4,26,15,11,26,SC Freiburg
8,17,7,3,7,25,17,8,24,Mainz
9,17,6,4,7,30,22,8,22,RB Leipzig
10,16,5,7,4,26,27,-1,22,Cologne
11,17,6,3,8,20,35,-15,21,Hertha Berlin
12,17,6,2,9,16,26,-10,20,Bochum
13,17,6,2,9,17,29,-12,20,Wolfsburg
14,17,5,4,8,22,32,-10,19,M'gladbach
15,17,4,6,7,17,26,-9,18,FC Augsburg
16,16,4,5,7,22,30,-8,17,Stuttgart
17,17,3,7,7,14,22,-8,16,Arminia Bielefeld
18,17,1,2,14,13,49,-36,5,Greuther Furth
