Rank,PI,W,D,L,GF,GA,GD,Points,Team
1,17,13,3,1,39,15,24,42,Real Madrid
2,17,11,4,2,28,12,16,37,Sevilla
3,17,10,3,4,30,18,12,33,Real Betis
4,18,9,3,6,26,18,8,30,Rayo Vallecano
5,17,8,5,4,28,20,8,29,Atletico Madrid
6,18,8,5,5,20,20,0,29,Real Sociedad
7,17,7,6,4,28,21,7,27,Barcelona
8,17,6,7,4,26,23,3,25,Valencia
9,18,6,5,7,20,21,-1,23,Espanyol
10,17,5,7,5,21,18,3,22,Villarreal
11,17,5,7,5,17,21,-4,22,Osasuna
12,17,4,9,4,13,12,1,21,Athletic Bilbao
13,18,5,5,8,20,22,-2,20,Celta Vigo
14,17,4,8,5,16,23,-7,20,Real Mallorca
15,16,3,7,6,17,24,-7,16,Granada
16,18,3,6,9,18,27,-9,15,Elche
17,17,4,3,10,13,24,-11,15,Alaves
18,17,2,7,8,15,31,-16,13,Cadiz
19,17,2,6,9,11,20,-9,12,Getafe
20,17,0,8,9,16,32,-16,8,Levante
