Rank,PI,W,D,L,GF,GA,GD,Points,Team
1,17,13,2,2,40,9,31,41,Manchester City
2,17,12,4,1,48,13,35,40,Liverpool
3,17,11,4,2,39,12,27,37,Chelsea
4,18,10,2,6,27,23,4,32,Arsenal
5,17,8,4,5,28,21,7,28,West Ham United
6,16,8,3,5,26,24,2,27,Manchester United
7,14,8,1,5,16,17,-1,25,Tottenham Hotspur
8,17,7,3,7,13,14,-1,24,Wolverhampton Wanderers
9,16,6,4,6,27,27,0,22,Leicester City
10,17,7,1,9,23,25,-2,22,Aston Villa
11,17,4,8,5,24,24,0,20,Crystal Palace
12,16,5,5,6,21,22,-1,20,Brentford
13,16,4,8,4,14,17,-3,20,Brighton and Hove Albion
14,17,5,4,8,21,29,-8,19,Everton
15,17,3,8,6,16,26,-10,17,Southampton
16,18,3,7,8,18,36,-18,16,Leeds United
17,16,4,1,11,21,31,-10,13,Watford
18,15,1,8,6,14,21,-7,11,Burnley
19,17,1,7,9,18,37,-19,10,Newcastle United
20,17,2,4,11,8,34,-26,10,Norwich City
