Rank,PI,W,D,L,GF,GA,GD,Points,Team
1,18,13,4,1,48,15,33,43,Inter Milan
2,17,12,3,2,36,19,17,39,AC Milan
3,18,11,4,3,38,24,14,37,Atalanta
4,17,11,3,3,34,13,21,36,Napoli
5,18,10,1,7,30,20,10,31,Roma
6,18,9,4,5,25,17,8,31,Juventus
7,17,10,0,7,31,22,9,30,Fiorentina
8,18,8,4,6,36,33,3,28,Lazio
9,17,8,2,7,27,29,-2,26,Empoli
10,18,7,3,8,24,31,-7,24,Bologna
11,17,6,5,6,33,30,3,23,Verona
12,17,6,5,6,28,26,2,23,Sassuolo
13,17,6,4,7,22,18,4,22,Torino
14,18,4,8,6,26,28,-2,20,Udinese
15,17,5,3,9,25,33,-8,18,Sampdoria
16,17,4,4,9,16,30,-14,16,Venezia
17,17,3,3,11,17,38,-21,12,Spezia
18,18,1,7,10,19,37,-18,10,Genoa
19,18,1,7,10,17,38,-21,10,Cagliari
20,18,2,2,14,11,42,-31,8,Salernitana
